rand_point_id	fid	roi_id	macroclass_id	class_id	B2	B3	B4	B5	B6	B7	B8	B11	Longitud	Latitud
207	5	s20260528_111001644386_707	5	5	1299	1924	2041	2141	1158	1318	1704	2066	-4.418.957.481	-2.014.394.756
208	5	s20260528_111001644386_707	5	5	1322	1902	2026	2109	1146	1291	1691	1893	-4.418.950.904	-2.014.410.247
209	5	s20260528_111001644386_707	5	5	1457	1969	2119	2255	1172	1322	1737	2106	-4.418.978.241	-2.014.379.395
210	5	s20260528_111001644386_707	5	5	1354	1957	2065	2181	1149	1310	1718	2039	-4.418.972.445	-2.014.373.861
211	5	s20260528_111001644386_707	5	5	1400	1943	2147	2320	1167	1304	1713	1934	-4.418.973.287	-2.014.365.061
212	5	s20260528_111001644386_707	5	5	1354	1957	2065	2181	1149	1310	1718	2039	-4.418.974.136	-2.014.372.271
213	5	s20260528_111001644386_707	5	5	1317	1915	2010	2075	1138	1296	1700	2008	-4.418.962.211	-2.014.398.366
214	5	s20260528_111001644386_707	5	5	1399	1942	2091	2222	1177	1320	1718	2049	-4.418.977.565	-2.014.361.902
215	5	s20260528_111001644386_707	5	5	1273	1914	1986	2057	1144	1300	1696	1907	-4.418.954.545	-2.014.401.940
216	5	s20260528_111001644386_707	5	5	1547	1919	2371	2657	1178	1315	1706	2003	-4.418.974.480	-2.014.357.776
217	5	s20260528_111001644386_707	5	5	1633	2011	2264	2408	1163	1316	1756	2142	-4.418.979.242	-2.014.380.502
